2023-06-06 14:29:13 | 12976 | ClicktorunSVC | Microsoft Office Click-to-Run Service | "C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe" /service | LocalSystem | automatic | running | 6052 | ‪Verwaltet die Ressourcenkoordination, das Hintergrundstreaming und die Systemintegration von Microsoft Office-Produkten mit den dazugehörigen Updates. Dieser Dienst muss während der Verwendung der Microsoft Office-Programme sowie während der Erstinstallation des Streamings und während aller späteren Aktualisierungen ausgeführt werden.‬
2023-06-06 14:29:13 | 12976 | ClipSVC | Clientlizenzdienst (ClipSVC) | C:\WINDOWS\System32\svchost.exe -k wsappx -p | LocalSystem | manual | stopped | None | Stellt dem Microsoft Store Infrastrukturunterstützung bereit. Der Dienst wird bei Bedarf gestartet. Wenn der Dienst deaktiviert wird, verhalten sich über den Windows Store erworbene Anwendungen nicht korrekt.
2023-06-06 14:29:13 | 12976 | AJRouter | AllJoyn-Routerdienst | C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p | NT AUTHORITY\LocalService | manual | stopped | None | Leitet AllJoyn-Mitteilungen für die lokalen AllJoyn-Clients um. Wenn dieser Dienst angehalten wird, können die AllJoyn-Clients, die nicht über eigene gebündelte Router verfügen, nicht ausgeführt werden.
2023-06-06 14:43:25 | 14160 | ClicktorunSVC | Microsoft Office Click-to-Run Service | "C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe" /service | LocalSystem | automatic | running | 6052 | ‪Verwaltet die Ressourcenkoordination, das Hintergrundstreaming und die Systemintegration von Microsoft Office-Produkten mit den dazugehörigen Updates. Dieser Dienst muss während der Verwendung der Microsoft Office-Programme sowie während der Erstinstallation des Streamings und während aller späteren Aktualisierungen ausgeführt werden.‬
2023-06-06 14:43:25 | 14160 | ClipSVC | Clientlizenzdienst (ClipSVC) | C:\WINDOWS\System32\svchost.exe -k wsappx -p | LocalSystem | manual | stopped | None | Stellt dem Microsoft Store Infrastrukturunterstützung bereit. Der Dienst wird bei Bedarf gestartet. Wenn der Dienst deaktiviert wird, verhalten sich über den Windows Store erworbene Anwendungen nicht korrekt.
2023-06-06 14:43:25 | 14160 | AJRouter | AllJoyn-Routerdienst | C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p | NT AUTHORITY\LocalService | manual | stopped | None | Leitet AllJoyn-Mitteilungen für die lokalen AllJoyn-Clients um. Wenn dieser Dienst angehalten wird, können die AllJoyn-Clients, die nicht über eigene gebündelte Router verfügen, nicht ausgeführt werden.
2023-06-06 15:17:23 | 7756 | ClicktorunSVC | Microsoft Office Click-to-Run Service | "C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe" /service | LocalSystem | automatic | running | 6052 | ‪Verwaltet die Ressourcenkoordination, das Hintergrundstreaming und die Systemintegration von Microsoft Office-Produkten mit den dazugehörigen Updates. Dieser Dienst muss während der Verwendung der Microsoft Office-Programme sowie während der Erstinstallation des Streamings und während aller späteren Aktualisierungen ausgeführt werden.‬
2023-06-06 15:17:23 | 7756 | ClipSVC | Clientlizenzdienst (ClipSVC) | C:\WINDOWS\System32\svchost.exe -k wsappx -p | LocalSystem | manual | stopped | None | Stellt dem Microsoft Store Infrastrukturunterstützung bereit. Der Dienst wird bei Bedarf gestartet. Wenn der Dienst deaktiviert wird, verhalten sich über den Windows Store erworbene Anwendungen nicht korrekt.
2023-06-06 15:17:23 | 7756 | AJRouter | AllJoyn-Routerdienst | C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p | NT AUTHORITY\LocalService | manual | stopped | None | Leitet AllJoyn-Mitteilungen für die lokalen AllJoyn-Clients um. Wenn dieser Dienst angehalten wird, können die AllJoyn-Clients, die nicht über eigene gebündelte Router verfügen, nicht ausgeführt werden.
2023-06-06 15:22:59 | 8000 | ClicktorunSVC | Microsoft Office Click-to-Run Service | "C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe" /service | LocalSystem | automatic | running | 6052 | ‪Verwaltet die Ressourcenkoordination, das Hintergrundstreaming und die Systemintegration von Microsoft Office-Produkten mit den dazugehörigen Updates. Dieser Dienst muss während der Verwendung der Microsoft Office-Programme sowie während der Erstinstallation des Streamings und während aller späteren Aktualisierungen ausgeführt werden.‬
2023-06-06 15:22:59 | 8000 | ClipSVC | Clientlizenzdienst (ClipSVC) | C:\WINDOWS\System32\svchost.exe -k wsappx -p | LocalSystem | manual | stopped | None | Stellt dem Microsoft Store Infrastrukturunterstützung bereit. Der Dienst wird bei Bedarf gestartet. Wenn der Dienst deaktiviert wird, verhalten sich über den Windows Store erworbene Anwendungen nicht korrekt.
2023-06-06 15:22:59 | 8000 | AJRouter | AllJoyn-Routerdienst | C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p | NT AUTHORITY\LocalService | manual | stopped | None | Leitet AllJoyn-Mitteilungen für die lokalen AllJoyn-Clients um. Wenn dieser Dienst angehalten wird, können die AllJoyn-Clients, die nicht über eigene gebündelte Router verfügen, nicht ausgeführt werden.
2023-06-06 15:22:59 | 8000 | ClicktorunSVC | Microsoft Office Click-to-Run Service | "C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe" /service | LocalSystem | automatic | running | 6052 | ‪Verwaltet die Ressourcenkoordination, das Hintergrundstreaming und die Systemintegration von Microsoft Office-Produkten mit den dazugehörigen Updates. Dieser Dienst muss während der Verwendung der Microsoft Office-Programme sowie während der Erstinstallation des Streamings und während aller späteren Aktualisierungen ausgeführt werden.‬
2023-06-06 15:22:59 | 8000 | ClipSVC | Clientlizenzdienst (ClipSVC) | C:\WINDOWS\System32\svchost.exe -k wsappx -p | LocalSystem | manual | stopped | None | Stellt dem Microsoft Store Infrastrukturunterstützung bereit. Der Dienst wird bei Bedarf gestartet. Wenn der Dienst deaktiviert wird, verhalten sich über den Windows Store erworbene Anwendungen nicht korrekt.
2023-06-06 15:22:59 | 8000 | AJRouter | AllJoyn-Routerdienst | C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p | NT AUTHORITY\LocalService | manual | stopped | None | Leitet AllJoyn-Mitteilungen für die lokalen AllJoyn-Clients um. Wenn dieser Dienst angehalten wird, können die AllJoyn-Clients, die nicht über eigene gebündelte Router verfügen, nicht ausgeführt werden.
2023-06-06 15:23:05 | 8000 | ClicktorunSVC | Microsoft Office Click-to-Run Service | "C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe" /service | LocalSystem | automatic | running | 6052 | ‪Verwaltet die Ressourcenkoordination, das Hintergrundstreaming und die Systemintegration von Microsoft Office-Produkten mit den dazugehörigen Updates. Dieser Dienst muss während der Verwendung der Microsoft Office-Programme sowie während der Erstinstallation des Streamings und während aller späteren Aktualisierungen ausgeführt werden.‬
2023-06-06 15:23:05 | 8000 | ClipSVC | Clientlizenzdienst (ClipSVC) | C:\WINDOWS\System32\svchost.exe -k wsappx -p | LocalSystem | manual | stopped | None | Stellt dem Microsoft Store Infrastrukturunterstützung bereit. Der Dienst wird bei Bedarf gestartet. Wenn der Dienst deaktiviert wird, verhalten sich über den Windows Store erworbene Anwendungen nicht korrekt.
2023-06-06 15:23:05 | 8000 | AJRouter | AllJoyn-Routerdienst | C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p | NT AUTHORITY\LocalService | manual | stopped | None | Leitet AllJoyn-Mitteilungen für die lokalen AllJoyn-Clients um. Wenn dieser Dienst angehalten wird, können die AllJoyn-Clients, die nicht über eigene gebündelte Router verfügen, nicht ausgeführt werden.
2023-06-06 15:23:10 | 8000 | ClicktorunSVC | Microsoft Office Click-to-Run Service | "C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe" /service | LocalSystem | automatic | running | 6052 | ‪Verwaltet die Ressourcenkoordination, das Hintergrundstreaming und die Systemintegration von Microsoft Office-Produkten mit den dazugehörigen Updates. Dieser Dienst muss während der Verwendung der Microsoft Office-Programme sowie während der Erstinstallation des Streamings und während aller späteren Aktualisierungen ausgeführt werden.‬
2023-06-06 15:23:10 | 8000 | ClipSVC | Clientlizenzdienst (ClipSVC) | C:\WINDOWS\System32\svchost.exe -k wsappx -p | LocalSystem | manual | stopped | None | Stellt dem Microsoft Store Infrastrukturunterstützung bereit. Der Dienst wird bei Bedarf gestartet. Wenn der Dienst deaktiviert wird, verhalten sich über den Windows Store erworbene Anwendungen nicht korrekt.
2023-06-06 15:23:10 | 8000 | AJRouter | AllJoyn-Routerdienst | C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p | NT AUTHORITY\LocalService | manual | stopped | None | Leitet AllJoyn-Mitteilungen für die lokalen AllJoyn-Clients um. Wenn dieser Dienst angehalten wird, können die AllJoyn-Clients, die nicht über eigene gebündelte Router verfügen, nicht ausgeführt werden.
2023-06-06 15:23:15 | 8000 | ClicktorunSVC | Microsoft Office Click-to-Run Service | "C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe" /service | LocalSystem | automatic | running | 6052 | ‪Verwaltet die Ressourcenkoordination, das Hintergrundstreaming und die Systemintegration von Microsoft Office-Produkten mit den dazugehörigen Updates. Dieser Dienst muss während der Verwendung der Microsoft Office-Programme sowie während der Erstinstallation des Streamings und während aller späteren Aktualisierungen ausgeführt werden.‬
2023-06-06 15:23:15 | 8000 | ClipSVC | Clientlizenzdienst (ClipSVC) | C:\WINDOWS\System32\svchost.exe -k wsappx -p | LocalSystem | manual | stopped | None | Stellt dem Microsoft Store Infrastrukturunterstützung bereit. Der Dienst wird bei Bedarf gestartet. Wenn der Dienst deaktiviert wird, verhalten sich über den Windows Store erworbene Anwendungen nicht korrekt.
2023-06-06 15:23:15 | 8000 | AJRouter | AllJoyn-Routerdienst | C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p | NT AUTHORITY\LocalService | manual | stopped | None | Leitet AllJoyn-Mitteilungen für die lokalen AllJoyn-Clients um. Wenn dieser Dienst angehalten wird, können die AllJoyn-Clients, die nicht über eigene gebündelte Router verfügen, nicht ausgeführt werden.
2023-06-06 15:23:20 | 8000 | ClicktorunSVC | Microsoft Office Click-to-Run Service | "C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe" /service | LocalSystem | automatic | running | 6052 | ‪Verwaltet die Ressourcenkoordination, das Hintergrundstreaming und die Systemintegration von Microsoft Office-Produkten mit den dazugehörigen Updates. Dieser Dienst muss während der Verwendung der Microsoft Office-Programme sowie während der Erstinstallation des Streamings und während aller späteren Aktualisierungen ausgeführt werden.‬
2023-06-06 15:23:20 | 8000 | ClipSVC | Clientlizenzdienst (ClipSVC) | C:\WINDOWS\System32\svchost.exe -k wsappx -p | LocalSystem | manual | stopped | None | Stellt dem Microsoft Store Infrastrukturunterstützung bereit. Der Dienst wird bei Bedarf gestartet. Wenn der Dienst deaktiviert wird, verhalten sich über den Windows Store erworbene Anwendungen nicht korrekt.
2023-06-06 15:23:20 | 8000 | AJRouter | AllJoyn-Routerdienst | C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p | NT AUTHORITY\LocalService | manual | stopped | None | Leitet AllJoyn-Mitteilungen für die lokalen AllJoyn-Clients um. Wenn dieser Dienst angehalten wird, können die AllJoyn-Clients, die nicht über eigene gebündelte Router verfügen, nicht ausgeführt werden.
2023-06-06 15:23:25 | 8000 | ClicktorunSVC | Microsoft Office Click-to-Run Service | "C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe" /service | LocalSystem | automatic | running | 6052 | ‪Verwaltet die Ressourcenkoordination, das Hintergrundstreaming und die Systemintegration von Microsoft Office-Produkten mit den dazugehörigen Updates. Dieser Dienst muss während der Verwendung der Microsoft Office-Programme sowie während der Erstinstallation des Streamings und während aller späteren Aktualisierungen ausgeführt werden.‬
2023-06-06 15:23:25 | 8000 | ClipSVC | Clientlizenzdienst (ClipSVC) | C:\WINDOWS\System32\svchost.exe -k wsappx -p | LocalSystem | manual | stopped | None | Stellt dem Microsoft Store Infrastrukturunterstützung bereit. Der Dienst wird bei Bedarf gestartet. Wenn der Dienst deaktiviert wird, verhalten sich über den Windows Store erworbene Anwendungen nicht korrekt.
2023-06-06 15:23:25 | 8000 | AJRouter | AllJoyn-Routerdienst | C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p | NT AUTHORITY\LocalService | manual | stopped | None | Leitet AllJoyn-Mitteilungen für die lokalen AllJoyn-Clients um. Wenn dieser Dienst angehalten wird, können die AllJoyn-Clients, die nicht über eigene gebündelte Router verfügen, nicht ausgeführt werden.
2023-06-06 15:23:30 | 8000 | ClicktorunSVC | Microsoft Office Click-to-Run Service | "C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe" /service | LocalSystem | automatic | running | 6052 | ‪Verwaltet die Ressourcenkoordination, das Hintergrundstreaming und die Systemintegration von Microsoft Office-Produkten mit den dazugehörigen Updates. Dieser Dienst muss während der Verwendung der Microsoft Office-Programme sowie während der Erstinstallation des Streamings und während aller späteren Aktualisierungen ausgeführt werden.‬
2023-06-06 15:23:30 | 8000 | ClipSVC | Clientlizenzdienst (ClipSVC) | C:\WINDOWS\System32\svchost.exe -k wsappx -p | LocalSystem | manual | stopped | None | Stellt dem Microsoft Store Infrastrukturunterstützung bereit. Der Dienst wird bei Bedarf gestartet. Wenn der Dienst deaktiviert wird, verhalten sich über den Windows Store erworbene Anwendungen nicht korrekt.
2023-06-06 15:23:30 | 8000 | AJRouter | AllJoyn-Routerdienst | C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p | NT AUTHORITY\LocalService | manual | stopped | None | Leitet AllJoyn-Mitteilungen für die lokalen AllJoyn-Clients um. Wenn dieser Dienst angehalten wird, können die AllJoyn-Clients, die nicht über eigene gebündelte Router verfügen, nicht ausgeführt werden.
2023-06-06 15:23:35 | 8000 | ClicktorunSVC | Microsoft Office Click-to-Run Service | "C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe" /service | LocalSystem | automatic | running | 6052 | ‪Verwaltet die Ressourcenkoordination, das Hintergrundstreaming und die Systemintegration von Microsoft Office-Produkten mit den dazugehörigen Updates. Dieser Dienst muss während der Verwendung der Microsoft Office-Programme sowie während der Erstinstallation des Streamings und während aller späteren Aktualisierungen ausgeführt werden.‬
2023-06-06 15:23:35 | 8000 | ClipSVC | Clientlizenzdienst (ClipSVC) | C:\WINDOWS\System32\svchost.exe -k wsappx -p | LocalSystem | manual | stopped | None | Stellt dem Microsoft Store Infrastrukturunterstützung bereit. Der Dienst wird bei Bedarf gestartet. Wenn der Dienst deaktiviert wird, verhalten sich über den Windows Store erworbene Anwendungen nicht korrekt.
2023-06-06 15:23:35 | 8000 | AJRouter | AllJoyn-Routerdienst | C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p | NT AUTHORITY\LocalService | manual | stopped | None | Leitet AllJoyn-Mitteilungen für die lokalen AllJoyn-Clients um. Wenn dieser Dienst angehalten wird, können die AllJoyn-Clients, die nicht über eigene gebündelte Router verfügen, nicht ausgeführt werden.
2023-06-06 15:23:40 | 8000 | ClicktorunSVC | Microsoft Office Click-to-Run Service | "C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe" /service | LocalSystem | automatic | running | 6052 | ‪Verwaltet die Ressourcenkoordination, das Hintergrundstreaming und die Systemintegration von Microsoft Office-Produkten mit den dazugehörigen Updates. Dieser Dienst muss während der Verwendung der Microsoft Office-Programme sowie während der Erstinstallation des Streamings und während aller späteren Aktualisierungen ausgeführt werden.‬
